"BINSIZE","BID","FROM","TO","SIZE","COVERAGE","LENGTH","r","r.all","region.1","region.2","region.3"
3600,1,1215736560,1215740160,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,2,1215740160,1215743760,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,3,1215743760,1215747360,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,4,1215747360,1215750960,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,5,1215750960,1215754560,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,6,1215754560,1215758160,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,7,1215758160,1215761760,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,8,1215761760,1215765360,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,9,1215765360,1215768960,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,10,1215768960,1215772560,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,11,1215772560,1215776160,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,12,1215776160,1215779760,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,13,1215779760,1215783360,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,14,1215783360,1215786960,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,15,1215786960,1215790560,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,16,1215790560,1215794160,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,17,1215794160,1215797760,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,18,1215797760,1215801360,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,19,1215801360,1215804960,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,20,1215804960,1215808560,3600,3600,3840,1.00139912321612,2,0,0,2
3600,21,1215808560,1215812160,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,22,1215812160,1215815760,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,23,1215815760,1215819360,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,24,1215819360,1215822960,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,25,1215822960,1215826560,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,26,1215826560,1215830160,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,27,1215830160,1215833760,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,28,1215833760,1215837360,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,29,1215837360,1215840960,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,30,1215840960,1215844560,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,31,1215844560,1215848160,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,32,1215848160,1215851760,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,33,1215851760,1215855360,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,34,1215855360,1215858960,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,35,1215858960,1215862560,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,36,1215862560,1215866160,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,37,1215866160,1215869760,3600,3600,5820,0.364144221255334,2,0,0,2
3600,38,1215869760,1215873360,3600,3600,7200,0.589634417333765,2,0,0,2
3600,39,1215873360,1215876960,3600,3600,3900,0.0504187310592552,2,0,0,2
3600,40,1215876960,1215880560,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,41,1215880560,1215884160,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,42,1215884160,1215887760,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,43,1215887760,1215891360,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,44,1215891360,1215894960,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,45,1215894960,1215898560,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,46,1215898560,1215902160,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,47,1215902160,1215905760,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,48,1215905760,1215909360,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,49,1215909360,1215912960,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,50,1215912960,1215916560,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,51,1215916560,1215920160,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,52,1215920160,1215923760,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,53,1215923760,1215927360,3600,3600,3600,0.0013991232161179,1,0,0,1
3600,54,1215927360,1215930960,3600,3600,4020,0.876399123216118,2,0,1,1
3600,55,1215930960,1215934560,3600,3600,8040,1.83549804368318,5,0,2,3
3600,56,1215934560,1215938160,3600,3600,8760,0.382187843198493,3,0,1,2
3600,57,1215938160,1215941760,3600,3600,7200,0.0763054902573164,2,0,1,1
3600,58,1215941760,1215945360,3600,3600,7200,0.0763054902573164,2,0,1,1
3600,59,1215945360,1215948960,3600,3600,7320,1.07630549025732,3,0,1,2
3600,60,1215948960,1215952560,3600,3600,7200,0.0763054902573164,2,0,1,1
3600,61,1215952560,1215956160,3600,3600,10680,0.101017889064304,3,0,1,2
3600,62,1215956160,1215959760,3600,3600,10800,0.101870040747304,3,0,1,2
3600,63,1215959760,1215963360,3600,3600,10860,1.1018700407473,4,0,2,2
3600,64,1215963360,1215966960,3600,3600,10800,0.101870040747304,3,0,1,2
3600,65,1215966960,1215970560,3600,3600,10800,0.101870040747304,3,0,1,2
3600,66,1215970560,1215974160,3600,3600,10800,0.101870040747304,3,0,1,2
3600,67,1215974160,1215977760,3600,3600,12000,1.10658179241027,5,0,2,3
3600,68,1215977760,1215981360,3600,3600,14400,0.118499752498967,4,0,1,3
3600,69,1215981360,1215984960,3600,3600,14400,0.0681836217393996,5,0,1,4
3600,70,1215984960,1215988560,3600,3600,14400,0.0593043045465348,4,0,0,4
3600,71,1215988560,1215992160,3600,3600,14400,0.0593043045465348,4,0,0,4
3600,72,1215992160,1215995760,3600,3600,14400,0.0593043045465348,4,0,0,4
3600,73,1215995760,1215999360,3600,3600,14400,0.0593043045465348,4,0,0,4
3600,74,1215999360,1216002960,3600,3600,14400,0.0593043045465348,4,0,0,4
3600,75,1216002960,1216006560,3600,3600,14400,0.0593043045465348,4,0,0,4
3600,76,1216006560,1216010160,3600,3600,14400,0.0593043045465348,4,0,0,4
3600,77,1216010160,1216013760,3600,3600,14400,0.0593043045465348,4,0,0,4
3600,78,1216013760,1216017360,3600,3600,14400,0.0593043045465348,4,0,0,4
3600,79,1216017360,1216020960,3600,3600,15840,0.0866391564827535,5,0,1,4
3600,80,1216020960,1216024560,3600,3600,18000,0.127641434387081,5,0,1,4
3600,81,1216024560,1216028160,3600,3600,18000,0.127641434387081,5,0,1,4
3600,82,1216028160,1216031760,3600,3600,18000,0.127641434387081,5,0,1,4
3600,83,1216031760,1216035360,3600,3600,18000,0.127641434387081,5,0,1,4
3600,84,1216035360,1216038960,3600,3600,18000,0.127641434387081,5,0,1,4
3600,85,1216038960,1216042560,3600,3600,18360,1.12841007389515,7,0,2,5
3600,86,1216042560,1216046160,3600,3600,21600,0.143014224548496,6,0,1,5
3600,87,1216046160,1216049760,3600,3600,21600,0.143014224548496,6,0,1,5
3600,88,1216049760,1216053360,3600,3600,21600,0.143014224548496,6,0,1,5
3600,89,1216053360,1216056960,3600,3600,21600,0.143014224548496,6,0,1,5
3600,90,1216056960,1216060560,3600,3600,21600,0.143014224548496,6,0,1,5
3600,91,1216060560,1216064160,3600,3600,21600,0.143014224548496,6,0,1,5
3600,92,1216064160,1216067760,3600,3600,21600,0.143014224548496,6,0,1,5
3600,93,1216067760,1216071360,3600,3600,21600,0.143014224548496,6,0,1,5
3600,94,1216071360,1216074960,3600,3600,21600,0.154689277371765,7,0,1,6
3600,95,1216074960,1216078560,3600,3600,21720,0.162088708164131,7,0,0,7
3600,96,1216078560,1216082160,3600,3600,25200,0.273627169702592,7,0,0,7
3600,97,1216082160,1216085760,3600,3600,25200,0.273627169702592,7,0,0,7
